,ram_gb,laptop,npc_count,player_actions,background_process_count,tweak_affinity,tweak_game_mode,tweak_hags,tweak_low_timer_resolution,tweak_power_plan,tweak_priority,tweak_recording_off,tweak_registry_preset,tweak_service,mean_fps,fps_1pct,fps_0_1pct,mean_frametime,frametime_p95,cpu_util,gpu_util,vram_util,temperature
ram_gb,1.0,-0.0606,0.0335,0.0663,-0.0251,0.0045,-0.0068,-0.0164,0.0,0.0001,0.0166,0.0053,-0.0265,0.0181,0.0182,0.0201,0.0243,-0.0288,-0.0257,0.0034,0.0494,-0.0371,-0.0257
laptop,-0.0606,1.0,-0.0055,-0.1185,0.0116,-0.0197,0.0134,-0.0079,-0.0073,-0.0248,0.0027,0.0079,0.0123,-0.0095,-0.0584,-0.0456,-0.1224,0.0667,0.0616,-0.0421,0.0376,0.1038,0.9703
npc_count,0.0335,-0.0055,1.0,0.062,0.011,-0.0076,-0.0028,-0.0116,0.0192,-0.0151,-0.0116,0.0063,-0.0081,0.0013,-0.2732,-0.2687,-0.2643,0.2029,0.2017,0.0411,-0.0379,0.1105,-0.0194
player_actions,0.0663,-0.1185,0.062,1.0,0.086,0.0,-0.0174,0.0168,0.0173,0.0015,-0.0043,0.0261,-0.0184,-0.0049,-0.3082,-0.3039,-0.2942,0.252,0.2445,0.143,-0.0853,0.1254,-0.0938
background_process_count,-0.0251,0.0116,0.011,0.086,1.0,-0.0161,-0.0008,0.0053,0.0031,-0.0104,-0.0095,-0.0068,0.0153,-0.0016,-0.1105,-0.1532,-0.1486,0.0712,0.112,0.1825,0.0061,0.0008,0.0108
tweak_affinity,0.0045,-0.0197,-0.0076,0.0,-0.0161,1.0,-0.0097,-0.0176,-0.0176,-0.0296,-0.0506,-0.0034,-0.0011,-0.0274,0.0265,0.057,0.058,-0.0279,-0.0459,-0.0014,-0.008,-0.0164,-0.0192
tweak_game_mode,-0.0068,0.0134,-0.0028,-0.0174,-0.0008,-0.0097,1.0,-0.0263,-0.0407,-0.0193,-0.0062,0.0069,-0.0056,-0.0171,0.0305,0.0567,0.0553,-0.0287,-0.0479,0.0001,-0.0003,-0.0251,0.0176
tweak_hags,-0.0164,-0.0079,-0.0116,0.0168,0.0053,-0.0176,-0.0263,1.0,0.0186,-0.0387,-0.0297,-0.0118,-0.0096,-0.0405,-0.0088,0.0047,0.0046,0.0026,-0.0137,-0.0366,0.0219,0.0248,-0.0106
tweak_low_timer_resolution,0.0,-0.0073,0.0192,0.0173,0.0031,-0.0176,-0.0407,0.0186,1.0,0.0285,-0.0176,0.0059,-0.0173,-0.0062,-0.0084,0.0115,0.0121,0.014,-0.0005,-0.0146,0.0044,-0.0049,-0.0117
tweak_power_plan,0.0001,-0.0248,-0.0151,0.0015,-0.0104,-0.0296,-0.0193,-0.0387,0.0285,1.0,-0.0339,-0.0275,0.0266,-0.0182,0.0291,0.0793,0.0794,-0.0262,-0.0715,-0.0413,0.0175,-0.0132,-0.0238
