,,mean_fps,mean_fps,mean_fps,mean_fps,fps_1pct,fps_1pct,fps_1pct,fps_1pct
,,count,mean,median,std,count,mean,median,std
game_id,graphics_preset,,,,,,,,
apex_legends,high,156,115.488,114.985,26.278,156,90.773,91.9,22.249
apex_legends,low,169,146.148,139.06,69.135,169,114.953,107.18,57.213
apex_legends,medium,221,120.983,125.2,49.6,221,95.438,96.35,39.437
apex_legends,ultra,65,108.004,102.4,20.364,65,83.611,80.63,15.96
cs2,high,104,126.577,133.16,52.126,104,100.761,108.665,42.962
cs2,low,143,138.651,139.23,31.358,143,110.082,106.96,26.672
cs2,medium,144,154.655,165.5,43.458,144,123.223,126.49,37.645
cs2,ultra,78,112.14,120.535,31.98,78,87.394,92.115,26.362
cyberpunk_2077,high,247,90.947,81.99,32.415,247,71.0,63.51,27.113
cyberpunk_2077,low,182,122.734,123.35,31.432,182,96.143,97.205,26.819
cyberpunk_2077,medium,338,97.015,94.725,26.244,338,75.491,73.185,21.454
cyberpunk_2077,ultra,65,68.118,76.81,18.211,65,52.405,57.04,14.962
fortnite,high,247,117.179,116.43,40.295,247,93.051,89.82,33.874
fortnite,low,156,130.164,138.405,44.562,156,102.889,105.715,36.033
fortnite,medium,312,117.559,126.125,39.063,312,92.225,95.575,32.163
fortnite,ultra,91,108.718,125.01,34.829,91,83.358,93.22,27.831
valorant,high,182,183.316,177.76,78.44,182,143.306,135.165,63.301
valorant,low,143,133.001,144.0,47.852,143,103.797,112.44,37.709
valorant,medium,260,162.549,144.0,69.179,260,125.471,112.885,54.822
valorant,ultra,91,157.567,162.41,44.882,91,121.509,122.32,34.203
warzone,high,208,94.677,99.15,26.517,208,74.103,75.4,22.318
warzone,low,169,111.242,105.66,25.259,169,86.792,83.16,21.451
warzone,medium,273,94.483,87.6,28.006,273,75.065,68.93,23.537
warzone,ultra,52,78.66,83.245,17.125,52,61.643,65.445,13.275
