,,mean_fps,mean_fps,mean_fps,fps_1pct,fps_1pct,fps_1pct
,,count,mean,median,count,mean,median
cpu_model,gpu_model,,,,,,
AMD Ryzen 5 3600,AMD RX 6600,26,213.478,216.79,26,163.055,170.235
Intel Core i7-13700K,NVIDIA RTX 4060,26,208.237,204.95,26,167.236,160.32
AMD Ryzen 7 5800X3D,NVIDIA RTX 2060,26,188.957,187.325,26,148.512,146.915
Intel Core i7-12700H,AMD RX 7800 XT,39,186.356,159.89,39,148.012,126.95
Intel Core i7-13700K,AMD RX 7800 XT,13,185.453,183.18,13,148.765,145.15
AMD Ryzen 7 5800X3D,NVIDIA RTX 4070,26,183.682,180.85,26,145.488,138.87
AMD Ryzen 7 7840HS,NVIDIA RTX 4070,39,179.415,207.73,39,140.452,164.19
AMD Ryzen 7 5800X3D,AMD RX 7800 XT,26,173.197,176.36,26,138.697,136.955
Intel Core i7-13700K,NVIDIA RTX 3060 Laptop,39,161.318,185.91,39,123.938,143.09
AMD Ryzen 5 3600,NVIDIA RTX 2060,13,156.874,156.07,13,124.174,121.3
Intel Core i5-12400F,NVIDIA RTX 2060,39,155.93,176.18,39,121.171,139.73
AMD Ryzen 7 7840HS,AMD RX 6600,26,155.122,153.93,26,123.095,121.835
AMD Ryzen 5 5600X,NVIDIA RTX 4060,39,154.715,150.29,39,122.866,122.13
Intel Core i5-12400F,NVIDIA GTX 1660 Super,26,152.33,150.43,26,116.443,113.07
AMD Ryzen 5 3600,NVIDIA RTX 4060,39,151.7,151.39,39,121.037,117.37
AMD Ryzen 7 5800X3D,NVIDIA RTX 3060 Laptop,13,148.768,149.34,13,119.328,118.87
AMD Ryzen 7 5800X3D,AMD RX 6600,13,144.0,144.0,13,110.52,109.84
Intel Core i7-13700K,NVIDIA RTX 2060,78,140.665,145.73,78,109.769,112.23
Intel Core i7-12700H,NVIDIA RTX 2060,65,140.493,146.34,65,109.814,112.94
AMD Ryzen 5 5600X,NVIDIA RTX 4070,13,140.225,139.22,13,111.852,110.92
Intel Core i7-12700H,NVIDIA GTX 1660 Super,26,138.306,136.825,26,106.283,103.77
AMD Ryzen 7 7840HS,AMD RX 7800 XT,26,131.526,130.56,26,105.054,103.215
AMD Ryzen 7 7840HS,NVIDIA RTX 3060 Laptop,65,131.39,124.4,65,103.597,95.51
Intel Core i7-13700K,NVIDIA RTX 4070,39,129.721,144.0,39,101.411,109.0
AMD Ryzen 7 5800X3D,NVIDIA GTX 1060 6GB,26,125.57,126.055,26,95.237,96.915
AMD Ryzen 5 5600X,AMD RX 7800 XT,20,124.768,115.41,20,98.308,96.67
Intel Core i5-12400F,AMD RX 6600,26,122.687,121.43,26,96.673,92.64
Intel Core i5-12400F,AMD RX 7800 XT,26,121.829,125.41,26,96.457,99.8
Intel Core i5-9400F,NVIDIA RTX 4070,26,121.389,123.82,26,93.532,95.675
Intel Core i7-13700K,AMD RX 6600,39,120.727,119.06,39,93.81,94.86
AMD Ryzen 7 7840HS,NVIDIA GTX 1660 Super,52,119.323,124.645,52,92.362,94.82
AMD Ryzen 7 5800X3D,NVIDIA RTX 4060,52,117.782,85.385,52,91.864,66.065
AMD Ryzen 7 7840HS,NVIDIA RTX 2060,52,117.674,117.205,52,91.598,90.76
Intel Core i7-12700H,AMD RX 6600,13,112.086,110.32,13,88.146,84.4
AMD Ryzen 5 3600,NVIDIA RTX 4070,39,111.967,102.8,39,88.839,84.94
Intel Core i7-13700K,NVIDIA GTX 1060 6GB,39,110.501,124.95,39,86.492,95.22
Intel Core i5-9400F,NVIDIA RTX 4060,52,110.491,120.205,52,85.938,94.49
AMD Ryzen 7 5800X3D,NVIDIA GTX 1660 Super,39,110.284,127.02,39,85.502,98.41
Intel Core i7-12700H,NVIDIA RTX 3060 Laptop,65,107.549,119.99,65,86.186,91.98
Intel Core i5-9400F,NVIDIA RTX 3060 Laptop,52,107.232,105.29,52,84.309,88.5
Intel Core i7-12700H,NVIDIA RTX 4070,26,106.93,103.55,26,85.77,80.785
AMD Ryzen 5 5600X,NVIDIA GTX 1060 6GB,26,106.334,102.795,26,82.067,78.25
Intel Core i5-12400F,NVIDIA RTX 4070,13,103.176,100.95,13,81.943,76.92
Intel Core i5-9400F,NVIDIA RTX 2060,39,102.76,75.91,39,81.183,61.8
Intel Core i5-12400F,NVIDIA RTX 3060 Laptop,13,102.05,101.01,13,79.201,77.16
AMD Ryzen 5 3600,AMD RX 7800 XT,26,101.172,97.52,26,79.49,75.71
Intel Core i5-9400F,AMD RX 7800 XT,26,99.663,101.725,26,80.987,86.21
AMD Ryzen 5 3600,NVIDIA GTX 1660 Super,52,99.136,99.985,52,76.145,75.185
AMD Ryzen 7 7840HS,NVIDIA RTX 4060,26,98.828,100.07,26,76.1,76.1
AMD Ryzen 5 5600X,NVIDIA GTX 1660 Super,26,98.476,100.39,26,78.05,78.755
AMD Ryzen 7 7840HS,NVIDIA GTX 1060 6GB,26,98.151,96.58,26,76.849,73.61
AMD Ryzen 5 5600X,AMD RX 6600,26,94.977,96.085,26,76.158,76.83
AMD Ryzen 5 3600,NVIDIA GTX 1060 6GB,39,92.419,77.03,39,73.69,60.6
Intel Core i7-12700H,NVIDIA GTX 1060 6GB,39,90.845,88.41,39,69.348,68.15
Intel Core i5-12400F,NVIDIA RTX 4060,39,85.601,93.96,39,67.026,70.88
Intel Core i5-9400F,NVIDIA GTX 1660 Super,39,84.922,88.21,39,66.134,68.9
Intel Core i5-9400F,AMD RX 6600,65,68.013,66.85,65,53.375,50.79
Intel Core i7-13700K,NVIDIA GTX 1660 Super,26,65.465,63.73,26,49.982,47.89
Intel Core i5-9400F,NVIDIA GTX 1060 6GB,39,65.226,70.56,39,50.939,55.04
AMD Ryzen 5 3600,NVIDIA RTX 3060 Laptop,13,62.256,61.57,13,49.97,48.51
AMD Ryzen 5 5600X,NVIDIA RTX 3060 Laptop,13,60.0,60.0,13,47.409,46.85
AMD Ryzen 5 5600X,NVIDIA RTX 2060,13,58.005,58.02,13,46.152,45.66
